"Week","Stored Energy Value 2016 [MWh] - Austria (AT)","Stored Energy Value 2017 [MWh] - Austria (AT)","Stored Energy Value 2018 [MWh] - Austria (AT)"
"Week 1","1045237","825978","1269659"
"Week 2","1020559","784999","1239217"
"Week 3","988529","736945","1173769"
"Week 4","952521","647447","1056605"
"Week 5","946382","574658","989005"
"Week 6","909004","533869","890512"
"Week 7","844510","528844","803073"
"Week 8","787908","525197","681020"
"Week 9","714025","520021","605809"
"Week 10","634969","484480","503536"
"Week 11","550396","474694","427773"
"Week 12","449762","467394","367426"
"Week 13","436803","439512","323029"
"Week 14","433903","411399","324036"
"Week 15","422118","391455","322445"
"Week 16","397331","393654","322607"
"Week 17","373351","378402","384622"
"Week 18","367185","376944","462357"
"Week 19","140959","376608","563938"
"Week 20","392256","434020","629988"
"Week 21","423614","516554","675667"
"Week 22","518826","630154","774086"
"Week 23","596714","790971","911618"
"Week 24","719299","889162","982583"
"Week 25","832085","977080","1072631"
"Week 26","965186","1109408","1146615"
"Week 27","1086292","1205375","1211450"
"Week 28","1189228","1292783","1302507"
"Week 29","170309","1363728","1341843"
"Week 30","1213870","1445422","1381121"
"Week 31","1256775","1535390","1444227"
"Week 32","1380409","1646395","1500726"
"Week 33","1461695","1697579","1570134"
"Week 34","1475904","1723390","1590460"
"Week 35","1462535","1699862","1669709"
"Week 36","1479219","1729667","1738514"
"Week 37","1490842","1735631","1741437"
"Week 38","173310","1724841","1758824"
"Week 39","168276","1681783","1796341"
"Week 40","166431","1681296","1915721"
"Week 41","1364113","1704573","1874838"
"Week 42","1322498","1652668","1838550"
"Week 43","1277134","1622939","1810607"
"Week 44","1272662","1629403","1893120"
"Week 45","1269272","1597426","1911657"
"Week 46","1253268","1550100","1855791"
"Week 47","128461","1514230","1725074"
"Week 48","1191998","1463689","1623054"
"Week 49","1102276","1404330","1563081"
"Week 50","1007832","1380317","1492987"
"Week 51","885063","1266727","1383749"
"Week 52","866343","1259083","1391960"
